"","GROUP","ONTOLOGY","UP_DOWN","ONT_DESCRIPTION","Disease","EA_VALUE","GROUP_1","GROUP_2","sample","ANCESTORS","first_ancestor","first_ancestor_name"
"3050","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0019829","DOWN","molecular_function","EC",2.6267099606514e-11,"EC.debut","EC.6.meses","FECAL","GO:0015399, GO:0042626, GO:0055085, GO:0022857, GO:0022804, GO:0034220, GO:0015075, GO:0022853, GO:0008324, GO:0006810, GO:0005215, GO:0009987, GO:0006811, GO:0006812, GO:0051179, GO:0051234, GO:0140657, GO:0098655","GO:0005215","transporter activity"
"3051","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0020037","UP","molecular_function","EC",0.000815778045484681,"EC.debut","EC.6.meses","FECAL","GO:0046906, GO:0097159, GO:0005488","GO:0005488","binding"
"3052","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0022857","UP","molecular_function","EC",1.07809040040439e-05,"EC.debut","EC.6.meses","FECAL","GO:0055085, GO:0051234, GO:0051179, GO:0006810, GO:0005215, GO:0009987","GO:0051179","localization"
"3053","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0022900","DOWN","biological_process","EC",0.00165887988413474,"EC.debut","EC.6.meses","FECAL","GO:0006091, GO:0008152, GO:0044237, GO:0009987","GO:0008152","metabolic process"
"3054","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030145","DOWN","molecular_function","EC",0.00163716029772763,"EC.debut","EC.6.meses","FECAL","GO:0046914, GO:0046872, GO:0043167, GO:0036094, GO:0043169, GO:0005488","GO:0005488","binding"
"3055","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030163","DOWN","biological_process","EC",0.000202312751817293,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:0009057, GO:0009056, GO:0008152, GO:1901565, GO:1901575, GO:1901564, GO:0044238, GO:0043170, GO:0006807, GO:0071704","GO:0008152","metabolic process"
"3056","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030163","UP","biological_process","EC",0.0023217231828583,"EC.debut","EC.6.meses","FECAL","GO:0019538, GO:0009057, GO:0009056, GO:0008152, GO:1901565, GO:1901575, GO:1901564, GO:0044238, GO:0043170, GO:0006807, GO:0071704","GO:0008152","metabolic process"
"3057","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030170","DOWN","molecular_function","EC",2.42153960507461e-07,"EC.debut","EC.6.meses","FECAL","GO:1901363, GO:0097159, GO:0043167, GO:0036094, GO:0070279, GO:0043168, GO:0005488, GO:0019842","GO:0005488","binding"
"3058","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030245","DOWN","biological_process","EC",0,"EC.debut","EC.6.meses","FECAL","GO:0009251, GO:0009057, GO:0009056, GO:0008152, GO:1901575, GO:0044238, GO:0043170, GO:0005976, GO:0005975, GO:0051275, GO:0000272, GO:0044042, GO:0051273, GO:0016052, GO:0030243, GO:0071704","GO:0008152","metabolic process"
"3059","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030245","UP","biological_process","EC",1.26419213014324e-05,"EC.debut","EC.6.meses","FECAL","GO:0009251, GO:0009057, GO:0009056, GO:0008152, GO:1901575, GO:0044238, GO:0043170, GO:0005976, GO:0005975, GO:0051275, GO:0000272, GO:0044042, GO:0051273, GO:0016052, GO:0030243, GO:0071704","GO:0008152","metabolic process"
"3060","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030246","DOWN","molecular_function","EC",0,"EC.debut","EC.6.meses","FECAL","GO:0005488","GO:0005488","binding"
"3061","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030246","UP","molecular_function","EC",0,"EC.debut","EC.6.meses","FECAL","GO:0005488","GO:0005488","binding"
"3062","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030288","UP","cellular_component","EC",3.52263672776975e-12,"EC.debut","EC.6.meses","FECAL","GO:0042597, GO:0110165, GO:0030313","GO:0110165","cellular anatomical entity"
"3063","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030435","DOWN","biological_process","EC",0.00299576231319876,"EC.debut","EC.6.meses","FECAL","GO:0043934, GO:0048856, GO:0048646, GO:0009653, GO:0032502","GO:0032502","developmental process"
"3064","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030964","UP","cellular_component","EC",0.00841883896371919,"EC.debut","EC.6.meses","FECAL","GO:1902494, GO:0098796, GO:1990204, GO:0016020, GO:0032991, GO:0110165","GO:0032991","protein-containing complex"
"3065","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030976","DOWN","molecular_function","EC",6.35324183320521e-06,"EC.debut","EC.6.meses","FECAL","GO:0097159, GO:1901363, GO:1901681, GO:0043167, GO:0036094, GO:0043169, GO:0043168, GO:0005488, GO:0050997, GO:0019842","GO:0005488","binding"
"3066","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030976","UP","molecular_function","EC",6.82211197255977e-08,"EC.debut","EC.6.meses","FECAL","GO:0097159, GO:1901363, GO:1901681, GO:0043167, GO:0036094, GO:0043169, GO:0043168, GO:0005488, GO:0050997, GO:0019842","GO:0005488","binding"
"3067","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030983","DOWN","molecular_function","EC",4.52474958723137e-07,"EC.debut","EC.6.meses","FECAL","GO:0003676, GO:0003677, GO:0097159, GO:0003690, GO:0005488","GO:0005488","binding"
"3068","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0030983","UP","molecular_function","EC",1.65687338152008e-06,"EC.debut","EC.6.meses","FECAL","GO:0003676, GO:0003677, GO:0097159, GO:0003690, GO:0005488","GO:0005488","binding"
"3069","fecal.EC.debut_vs_fecal.EC.6.meses","GO:0031119","DOWN","biological_process","EC",0.00441364015076826,"EC.debut","EC.6.meses","FECAL","GO:0034470, GO:1901360, GO:0009451, GO:0009059, GO:0009058, GO:0044238, GO:0044237, GO:0006400, GO:0043170, GO:0046483, GO:0016070, GO:0001522, GO:0034641, GO:0141188, GO:0090304, GO:0008033, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0006396, GO:0044249, GO:0006139, GO:0043412, GO:0009987, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0008152","metabolic process"
